"","Ar","AstLan","Lan_namn","RegExpVarde","bef_20_64ar","RegExp_inv20_64ar"
"487",2019,"04","Södermanlands län",31126361036.6982,158767,196050.571193625
"488",2019,"05","Östergötlands län",51629725981.6843,262877,196402.598864428
"489",2019,"06","Jönköpings län",52681244172.8327,200257,263068.178255106
"490",2019,"07","Kronobergs län",34292706340.2496,110463,310445.183819465
"491",2019,"08","Kalmar län",24326702604.2959,130214,186820.945553442
"492",2019,"09","Gotlands län",658155169.086251,32069,20523.0961079626
"493",2019,"10","Blekinge län",28857660857.338,85582,337193.111370826
"494",2019,"12","Skåne län",115414413474.426,781339,147713.62171148
"495",2019,"13","Hallands län",24301153786.3099,181012,134251.617496684
"496",2019,"14","Västra Götalands län",326218170443.493,991631,328971.331516958
"497",2019,"17","Värmlands län",29793432776.5015,153830,193677.649200426
"498",2019,"18","Örebro län",45291562333.0363,169148,267762.919650462
"499",2019,"19","Västmanlands län",35868801414.5098,151827,236247.844023196
"500",2019,"20","Dalarnas län",46102813503.1679,152593,302129.281835785
"501",2019,"21","Gävleborgs län",28142811445.6756,154308,182380.767333357
"502",2019,"22","Västernorrlands län",31352515641.841,131208,238952.774539975
"503",2019,"23","Jämtlands län",4108536834.15168,70915,57936.0760650311
"504",2019,"24","Västerbottens län",29080757578.195,153725,189173.898703497
"505",2019,"25","Norrbottens län",44071714029.136,137493,320537.874867346
"506",2019,"99",NA,445514182.090469,0,Inf
