"year","Invånare.totalt..antal","Insamlat.mat..och.restavfall..kg.person","Insamlat.förpackningar.och.returpapper..kg.person","Insamlat.grovavfall..kg.person","Insamlat.farligt.avfall..inkl..elavfall.och.batterier...kg.person","Insamlat.kommunalt.avfall.totalt..kg.invånare..justerat.","BRP","insamlatavfalltotalt","avfallbrp"
2013,277349,193,75,200,29,497,92022,137842453,1497.92933211623
2014,278903,199,73,202,27,501,94406,139730403,1480.10087282588
2015,281028,194,75,217,17.5,512.2525691,98436,143957314.989035,1462.44580223734
2016,284531,192,67,200,15.6,485,103518,137997535,1333.07767731216
2017,286165,187,66,215.04,14.7,493.84,105918,141319723.6,1334.2370852924
2018,287191,191,74,218,26,509,110575,146180219,1322.00062401085
2019,287966,182,71,218,26,497,115605,143119102,1238.00096881623
2020,287676,167,67,242,29,505,111634,145276380,1301.36320475841
2021,288387,174,68,211,25,478,119186,137848986,1156.58706559495
