"","Ar","TotaltAntal","AntalKvinnor","AntalMan","AndelKvinnor","AndelMan","AndelInv","AntalInv","AntalChef","ChefKvinnor","ChefMan","ChefInv","AndelKvinnligaChef","AndelManligaChef","AndelInvChef"
"1",2014,130753,62119,68634,0.475086613691464,0.524913386308536,0.102123851842788,13353,5116,1987,3129,396,0.388389366692729,0.611610633307271,0.0774042220484754
"2",2015,131588,62439,69149,0.474503754141715,0.525496245858285,0.108155758883789,14232,5423,2095,3328,425,0.386317536418956,0.613682463581044,0.0783699059561129
"3",2016,133336,63274,70062,0.474545509089818,0.525454490910182,0.117905141897162,15721,6381,2421,3960,511,0.379407616361072,0.620592383638928,0.0800814919291647
"4",2017,135019,63827,71192,0.472726060776631,0.527273939223369,0.126204460113021,17040,6713,2615,4098,577,0.389542678385223,0.610457321614777,0.0859526292268732
"5",2018,135544,63864,71680,0.471168033996341,0.528831966003659,0.135188573452163,18324,6771,2624,4147,622,0.387535076059666,0.612464923940334,0.0918623541574361
"6",2019,136867,65141,71726,0.475943799454945,0.524056200545055,0.14286862428489,19554,6629,2623,4006,626,0.395685623774325,0.604314376225675,0.0944335495549857
